Departure_ScheduledTimeUTC_DateTime,Departure_TimeStatus_Code,Arrival_AirportCode,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code
2024-08-06T07:45Z,DL,TLL,2024-08-06T10:05Z,2024-08-06T10:22Z,DL
2024-08-06T07:45Z,DL,MAN,2024-08-06T09:30Z,2024-08-06T09:46Z,DL
2024-08-06T07:45Z,OT,ZRH,2024-08-06T08:40Z,2024-08-06T08:51Z,OT
2024-08-06T07:50Z,OT,VNO,2024-08-06T09:55Z,2024-08-06T09:55Z,OT
2024-08-06T07:50Z,OT,BCN,2024-08-06T09:55Z,2024-08-06T09:54Z,FE
2024-08-06T07:50Z,OT,BSL,2024-08-06T08:40Z,2024-08-06T08:41Z,OT
2024-08-06T07:55Z,OT,BRE,2024-08-06T08:50Z,2024-08-06T08:55Z,OT
2024-08-06T08:00Z,OT,HAM,2024-08-06T09:05Z,2024-08-06T09:15Z,OT
2024-08-06T08:00Z,OT,NUE,2024-08-06T08:40Z,2024-08-06T08:45Z,OT
2024-08-06T08:00Z,OT,CPH,2024-08-06T09:25Z,2024-08-06T09:34Z,OT
2024-08-06T08:00Z,OT,LHR,2024-08-06T09:40Z,2024-08-06T09:28Z,FE
2024-08-06T08:05Z,OT,RIX,2024-08-06T10:10Z,2024-08-06T10:15Z,OT
2024-08-06T08:05Z,OT,PRG,2024-08-06T09:05Z,2024-08-06T09:00Z,FE
2024-08-06T08:05Z,OT,SOF,2024-08-06T10:20Z,2024-08-06T10:15Z,FE
2024-08-06T08:05Z,OT,SJJ,2024-08-06T09:50Z,2024-08-06T09:53Z,OT
2024-08-06T08:05Z,OT,ZAG,2024-08-06T09:25Z,2024-08-06T09:41Z,DL
2024-08-06T08:10Z,OT,NCL,2024-08-06T10:00Z,2024-08-06T09:50Z,FE
2024-08-06T08:15Z,OT,MUC,2024-08-06T09:10Z,2024-08-06T09:10Z,OT
2024-08-06T08:20Z,DL,PMI,2024-08-06T10:25Z,2024-08-06T10:40Z,DL
2024-08-06T08:20Z,OT,NAP,2024-08-06T10:20Z,2024-08-06T10:27Z,OT
2024-08-06T08:20Z,DL,VIE,2024-08-06T09:45Z,2024-08-06T10:18Z,DL
2024-08-06T08:25Z,OT,CAI,2024-08-06T12:35Z,2024-08-06T12:22Z,FE
2024-08-06T08:25Z,DL,ARN,2024-08-06T10:30Z,2024-08-06T10:56Z,DL
2024-08-06T08:25Z,OT,BGO,2024-08-06T10:25Z,2024-08-06T10:30Z,OT
2024-08-06T08:25Z,DL,SVG,2024-08-06T10:15Z,2024-08-06T10:27Z,DL
2024-08-06T08:25Z,OT,KRK,2024-08-06T10:00Z,2024-08-06T10:03Z,OT
2024-08-06T08:25Z,OT,WAW,2024-08-06T10:10Z,2024-08-06T10:05Z,FE
2024-08-06T08:30Z,OT,IBZ,2024-08-06T10:45Z,2024-08-06T10:57Z,OT
2024-08-06T08:35Z,OT,ADB,2024-08-06T11:45Z,2024-08-06T11:31Z,FE
2024-08-06T08:40Z,OT,PMI,2024-08-06T10:50Z,2024-08-06T10:49Z,FE
2024-08-06T08:40Z,OT,FCO,2024-08-06T10:30Z,2024-08-06T10:30Z,OT
2024-08-06T08:40Z,OT,TOS,2024-08-06T12:00Z,2024-08-06T12:01Z,OT
2024-08-06T08:45Z,OT,BEG,2024-08-06T10:40Z,2024-08-06T10:42Z,OT
2024-08-06T08:50Z,OT,LIN,2024-08-06T10:00Z,2024-08-06T10:10Z,OT
2024-08-06T08:55Z,DL,JFK,2024-08-06T17:25Z,2024-08-06T17:28Z,DL
2024-08-06T09:00Z,OT,BCN,2024-08-06T11:05Z,2024-08-06T11:03Z,FE
2024-08-06T09:05Z,OT,GLA,2024-08-06T11:05Z,2024-08-06T10:54Z,FE
2024-08-06T09:05Z,OT,EDI,2024-08-06T11:05Z,2024-08-06T10:51Z,FE
2024-08-06T09:05Z,OT,LCA,2024-08-06T12:50Z,2024-08-06T12:56Z,OT
2024-08-06T09:10Z,OT,KEF,2024-08-06T12:55Z,2024-08-06T12:24Z,FE
2024-08-06T09:10Z,OT,BIO,2024-08-06T11:20Z,2024-08-06T11:11Z,FE
2024-08-06T09:10Z,DL,VIE,2024-08-06T10:35Z,2024-08-06T10:55Z,DL
2024-08-06T09:15Z,DL,ABV,2024-08-06T15:20Z,2024-08-06T15:35Z,DL
2024-08-06T09:20Z,OT,BOS,2024-08-06T17:20Z,2024-08-06T17:27Z,OT
2024-08-06T09:25Z,DL,FNC,2024-08-06T13:40Z,2024-08-06T13:44Z,DL
2024-08-06T09:25Z,DL,LOS,2024-08-06T15:55Z,2024-08-06T16:08Z,DL
2024-08-06T09:40Z,OT,ACE,2024-08-06T14:05Z,2024-08-06T14:10Z,OT
2024-08-06T09:40Z,OT,AYT,2024-08-06T13:10Z,2024-08-06T13:09Z,FE
2024-08-06T09:45Z,DL,BER,2024-08-06T10:55Z,2024-08-06T11:00Z,DL
2024-08-06T09:45Z,OT,BHX,2024-08-06T11:20Z,2024-08-06T11:27Z,OT
2024-08-06T09:50Z,OT,NCE,2024-08-06T11:20Z,2024-08-06T11:27Z,OT
2024-08-06T09:50Z,OT,KRK,2024-08-06T11:25Z,2024-08-06T11:33Z,OT
2024-08-06T09:50Z,OT,TIA,2024-08-06T11:55Z,2024-08-06T12:01Z,OT
2024-08-06T10:00Z,OT,HRG,2024-08-06T14:35Z,2024-08-06T14:37Z,OT
2024-08-06T10:00Z,DL,HAM,2024-08-06T11:05Z,2024-08-06T11:14Z,DL
2024-08-06T10:00Z,OT,FCO,2024-08-06T11:50Z,2024-08-06T12:03Z,OT
2024-08-06T10:00Z,OT,LHR,2024-08-06T11:40Z,2024-08-06T11:43Z,OT
2024-08-06T10:00Z,OT,WAW,2024-08-06T11:35Z,2024-08-06T11:35Z,OT
2024-08-06T10:00Z,DL,BEY,2024-08-06T13:50Z,2024-08-06T14:25Z,DL
2024-08-06T09:45Z,DL,BER,2024-08-06T10:55Z,2024-08-06T11:00Z,DL
2024-08-06T09:50Z,OT,NCE,2024-08-06T11:20Z,2024-08-06T11:27Z,OT
2024-08-06T09:50Z,OT,KRK,2024-08-06T11:25Z,2024-08-06T11:33Z,OT
2024-08-06T09:50Z,OT,TIA,2024-08-06T11:55Z,2024-08-06T12:01Z,OT
2024-08-06T10:00Z,OT,HRG,2024-08-06T14:35Z,2024-08-06T14:37Z,OT
2024-08-06T10:00Z,DL,HAM,2024-08-06T11:05Z,2024-08-06T11:14Z,DL
2024-08-06T10:00Z,OT,FCO,2024-08-06T11:50Z,2024-08-06T12:03Z,OT
2024-08-06T10:00Z,OT,LHR,2024-08-06T11:40Z,2024-08-06T11:43Z,OT
2024-08-06T10:00Z,OT,WAW,2024-08-06T11:35Z,2024-08-06T11:35Z,OT
2024-08-06T10:00Z,DL,BEY,2024-08-06T13:50Z,2024-08-06T14:25Z,DL
2024-08-06T10:05Z,OT,BUD,2024-08-06T11:40Z,2024-08-06T11:39Z,FE
2024-08-06T10:10Z,OT,TFS,2024-08-06T15:00Z,2024-08-06T15:03Z,OT
2024-08-06T10:10Z,OT,LJU,2024-08-06T11:20Z,2024-08-06T11:32Z,OT
2024-08-06T10:15Z,DL,TRN,2024-08-06T11:35Z,2024-08-06T11:51Z,DL
2024-08-06T10:20Z,DL,GVA,2024-08-06T11:25Z,2024-08-06T12:40Z,DL
2024-08-06T10:20Z,OT,TLS,2024-08-06T12:05Z,2024-08-06T12:02Z,FE
2024-08-06T10:20Z,OT,FAO,2024-08-06T13:30Z,2024-08-06T13:23Z,FE
2024-08-06T10:20Z,OT,GDN,2024-08-06T11:50Z,2024-08-06T11:49Z,FE
2024-08-06T10:20Z,OT,PRG,2024-08-06T11:20Z,2024-08-06T11:30Z,OT
2024-08-06T10:25Z,OT,GOT,2024-08-06T12:00Z,2024-08-06T12:09Z,OT
2024-08-06T10:25Z,OT,CDG,2024-08-06T11:40Z,2024-08-06T11:37Z,FE
2024-08-06T10:30Z,OT,MXP,2024-08-06T11:45Z,2024-08-06T11:56Z,OT
2024-08-06T10:30Z,OT,VRN,2024-08-06T11:50Z,2024-08-06T11:54Z,OT
2024-08-06T10:30Z,DL,FLR,2024-08-06T12:05Z,2024-08-06T13:07Z,DL
2024-08-06T10:30Z,DL,VCE,2024-08-06T11:50Z,2024-08-06T12:17Z,DL
2024-08-06T10:30Z,OT,CPH,2024-08-06T11:55Z,2024-08-06T11:50Z,FE
2024-08-06T10:30Z,DL,ZAG,2024-08-06T11:55Z,2024-08-06T12:23Z,DL
2024-08-06T10:40Z,OT,GRZ,2024-08-06T12:00Z,2024-08-06T12:10Z,OT
2024-08-06T10:40Z,DL,KTW,2024-08-06T12:10Z,2024-08-06T12:36Z,DL
2024-08-06T10:40Z,DL,BLL,2024-08-06T12:00Z,2024-08-06T12:09Z,DL
2024-08-06T10:40Z,DL,AMS,2024-08-06T11:50Z,2024-08-06T11:55Z,DL
2024-08-06T10:40Z,OT,LYS,2024-08-06T11:55Z,2024-08-06T11:57Z,OT
2024-08-06T10:40Z,OT,POZ,2024-08-06T11:55Z,2024-08-06T11:54Z,FE
2024-08-06T10:45Z,OT,FUE,2024-08-06T15:15Z,2024-08-06T15:21Z,OT
2024-08-06T10:50Z,DL,JTR,2024-08-06T13:50Z,2024-08-06T15:06Z,DL
2024-08-06T10:50Z,DL,LUX,2024-08-06T11:35Z,2024-08-06T12:04Z,DL
2024-08-06T10:50Z,OT,BRE,2024-08-06T11:45Z,2024-08-06T11:49Z,OT
2024-08-06T10:50Z,OT,SZG,2024-08-06T11:50Z,2024-08-06T11:51Z,OT
2024-08-06T10:50Z,OT,BSL,2024-08-06T11:40Z,2024-08-06T11:34Z,FE
2024-08-06T10:50Z,DL,WRO,2024-08-06T12:05Z,2024-08-06T12:08Z,DL
2024-08-06T10:50Z,DL,VIE,2024-08-06T12:15Z,2024-08-06T12:26Z,DL
2024-08-06T10:55Z,DL,GVA,2024-08-06T12:05Z,2024-08-06T12:33Z,DL
2024-08-06T11:00Z,OT,HAM,2024-08-06T12:05Z,2024-08-06T11:58Z,FE
2024-08-06T11:00Z,DL,HAJ,2024-08-06T11:50Z,2024-08-06T11:55Z,DL
2024-08-06T11:00Z,DL,NUE,2024-08-06T11:40Z,2024-08-06T12:39Z,DL
2024-08-06T11:00Z,DL,BRU,2024-08-06T12:00Z,2024-08-06T12:32Z,DL
2024-08-06T11:00Z,OT,PMI,2024-08-06T13:10Z,2024-08-06T13:05Z,FE
2024-08-06T11:00Z,DL,IST,2024-08-06T14:00Z,2024-08-06T14:17Z,DL
2024-08-06T11:10Z,DL,JMK,2024-08-06T14:05Z,2024-08-06T15:33Z,DL
2024-08-06T11:10Z,OT,AGA,2024-08-06T15:05Z,2024-08-06T15:10Z,OT
2024-08-06T11:15Z,DL,MUC,2024-08-06T12:10Z,2024-08-06T12:47Z,DL
2024-08-06T11:15Z,OT,ALC,2024-08-06T13:50Z,2024-08-06T14:00Z,OT
2024-08-06T11:20Z,OT,DUS,2024-08-06T12:10Z,2024-08-06T12:06Z,FE
2024-08-06T11:20Z,OT,MAD,2024-08-06T13:55Z,2024-08-06T13:51Z,FE
2024-08-06T11:20Z,DL,BCN,2024-08-06T13:25Z,2024-08-06T13:42Z,DL
2024-08-06T11:20Z,DL,LIS,2024-08-06T14:30Z,2024-08-06T14:58Z,DL
2024-08-06T11:30Z,OT,LIN,2024-08-06T12:40Z,2024-08-06T12:43Z,OT
2024-08-06T11:35Z,OT,STR,2024-08-06T12:15Z,2024-08-06T12:08Z,FE
2024-08-06T11:35Z,DL,MLA,2024-08-06T14:10Z,2024-08-06T14:29Z,DL
2024-08-06T11:40Z,FE,LEJ,2024-08-06T12:35Z,2024-08-06T12:29Z,FE
2024-08-06T11:40Z,DL,ARN,2024-08-06T13:45Z,2024-08-06T14:16Z,DL
2024-08-06T11:40Z,OT,OSL,2024-08-06T13:40Z,2024-08-06T13:50Z,OT
2024-08-06T11:40Z,OT,BHD,2024-08-06T13:45Z,2024-08-06T13:39Z,FE
2024-08-06T11:40Z,OT,VIE,2024-08-06T13:05Z,2024-08-06T12:58Z,FE
2024-08-06T11:50Z,DL,HEL,2024-08-06T14:15Z,2024-08-06T14:37Z,DL
2024-08-06T11:50Z,OT,AGP,2024-08-06T14:50Z,2024-08-06T14:52Z,OT
2024-08-06T11:50Z,OT,OPO,2024-08-06T14:40Z,2024-08-06T14:46Z,OT
2024-08-06T11:50Z,OT,BEG,2024-08-06T13:45Z,2024-08-06T13:27Z,FE
2024-08-06T12:00Z,DL,JSI,2024-08-06T14:30Z,2024-08-06T15:28Z,DL
2024-08-06T12:00Z,DL,LHR,2024-08-06T13:40Z,2024-08-06T13:54Z,DL
2024-08-06T12:05Z,OT,AYT,2024-08-06T15:35Z,2024-08-06T15:38Z,OT
2024-08-06T12:20Z,OT,KGS,2024-08-06T15:25Z,2024-08-06T15:51Z,DL
2024-08-06T12:20Z,DL,TLL,2024-08-06T14:40Z,2024-08-06T14:56Z,DL
2024-08-06T12:25Z,DL,HER,2024-08-06T15:30Z,2024-08-06T15:58Z,DL
2024-08-06T12:25Z,OT,SKG,2024-08-06T14:50Z,2024-08-06T14:51Z,OT
2024-08-06T12:30Z,OT,TUN,2024-08-06T14:50Z,2024-08-06T15:04Z,OT
2024-08-06T12:30Z,DL,OTP,2024-08-06T14:50Z,2024-08-06T14:56Z,DL
2024-08-06T12:45Z,DL,BER,2024-08-06T13:55Z,2024-08-06T14:02Z,DL
2024-08-06T12:50Z,OT,SOF,2024-08-06T15:05Z,2024-08-06T15:02Z,FE
2024-08-06T12:55Z,DL,ADB,2024-08-06T16:05Z,2024-08-06T16:15Z,DL
2024-08-06T13:00Z,DL,HAM,2024-08-06T14:05Z,2024-08-06T14:16Z,DL
2024-08-06T13:00Z,DL,LHR,2024-08-06T14:40Z,2024-08-06T14:55Z,DL
2024-08-06T13:00Z,OT,ZRH,2024-08-06T13:55Z,2024-08-06T14:00Z,OT
2024-08-06T13:05Z,OT,SMI,2024-08-06T16:05Z,2024-08-06T16:01Z,FE
2024-08-06T13:10Z,OT,VLC,2024-08-06T15:35Z,2024-08-06T15:25Z,FE
2024-08-06T13:15Z,OT,MUC,2024-08-06T14:10Z,2024-08-06T14:16Z,OT
2024-08-06T13:25Z,OT,VNO,2024-08-06T15:30Z,2024-08-06T15:31Z,OT
2024-08-06T13:40Z,OT,DUB,2024-08-06T15:50Z,2024-08-06T15:48Z,FE
2024-08-06T13:45Z,OT,BER,2024-08-06T14:55Z,2024-08-06T14:53Z,FE
2024-08-06T13:50Z,OT,OLB,2024-08-06T15:45Z,2024-08-06T15:58Z,OT
2024-08-06T13:50Z,OT,VIE,2024-08-06T15:15Z,2024-08-06T15:10Z,FE
2024-08-06T14:00Z,DL,LCY,2024-08-06T15:25Z,2024-08-06T15:36Z,DL
2024-08-06T14:00Z,OT,HAM,2024-08-06T15:05Z,2024-08-06T15:03Z,FE
2024-08-06T14:00Z,OT,ARN,2024-08-06T16:05Z,2024-08-06T15:56Z,FE
2024-08-06T14:00Z,DL,OSL,2024-08-06T16:00Z,2024-08-06T16:09Z,DL
2024-08-06T14:00Z,OT,LHR,2024-08-06T15:40Z,2024-08-06T15:35Z,FE
2024-08-06T14:00Z,DL,LCY,2024-08-06T15:25Z,2024-08-06T15:36Z,DL
2024-08-06T14:00Z,OT,HAM,2024-08-06T15:05Z,2024-08-06T15:03Z,FE
2024-08-06T14:00Z,OT,ARN,2024-08-06T16:05Z,2024-08-06T15:56Z,FE
2024-08-06T14:00Z,DL,OSL,2024-08-06T16:00Z,2024-08-06T16:09Z,DL
2024-08-06T14:00Z,OT,LHR,2024-08-06T15:40Z,2024-08-06T15:35Z,FE
2024-08-06T14:05Z,OT,BOD,2024-08-06T15:50Z,2024-08-06T15:54Z,OT
2024-08-06T14:05Z,OT,BCN,2024-08-06T16:10Z,2024-08-06T16:06Z,FE
2024-08-06T14:05Z,OT,BIO,2024-08-06T16:15Z,2024-08-06T16:10Z,FE
2024-08-06T14:10Z,DL,GVA,2024-08-06T15:15Z,2024-08-06T15:36Z,DL
2024-08-06T14:15Z,OT,PMI,2024-08-06T16:20Z,2024-08-06T16:21Z,OT
2024-08-06T14:15Z,DL,PSA,2024-08-06T15:45Z,2024-08-06T16:24Z,DL
2024-08-06T14:15Z,OT,MUC,2024-08-06T15:10Z,2024-08-06T15:12Z,OT
2024-08-06T14:15Z,OT,LIN,2024-08-06T15:25Z,2024-08-06T15:31Z,OT
